Title,Username,Category,Comments
"Minayev Sumy Story ✙ 🇺🇦
minayevsumystory",MinayevSumyStory,Frontline,
News Sumy,news_sumy24,Frontline,
"PEOPLE.SUMY TG
peoplesumy2022",peoplesumy2022,Frontline,
Sumi's ♡love♡ narration,oumiiiiiiiii,Frontline,
"SUMY BLOG | Сумы 🇺🇦
blogsumy",blogsumy,Frontline,
"Sumy Ok | Cуми | Украина🇺🇦
sumyok",,Frontline,
"Sumy Ukraine Online | Война Украина🇺🇦 Україна
sumyobl",sumyobl,Frontline,
"Sup Sumy Tour
sup_sumy_tour",sup_sumy_tour,Frontline,
"Грошова допомога ВПО | Консорціум Реагування | Суми
sumy_dopomogavpo",sumy_dopomogavpo,Frontline,
"𝗙𝗢𝗫 𝗩𝗔𝗣𝗘 📍 м.Суми 🇺🇦
foxvape_ua",foxvape_ua,Frontline,
"Повестки Сумы / Повістки Суми
povistky_sumy",povistky_sumy,Frontline,
"Sumy Racing Team
srtsumy",srtsumy,Frontline,
"СУМИ ПОВІСТКА | СУМЫ ПОВЕСТКА
sumypovistka",sumypovistka,Frontline,
"Сумський гідрометцентр 🌍☀️
sumy_hmc",sumy_hmc,Frontline,
"АЛЬТРУИСТ - Сумы
altruistsumy",altruistsumy,Frontline,
"ALPINE Shop | SUMY
sumyalpine",sumyalpine,Frontline,
Тростянець INFO,trostyanetsinfo,De-occupied,
Тростянець Допомога 🙏,trost_help,De-occupied,
ЗСУ м.Тростянець,zsutrostyanec,De-occupied,
Підслухано Тростянець 🇺🇦,podslyshanotrost,De-occupied,
Тростянецька паляниця 🇺🇦,trostynets,De-occupied,
ЗОЛОЧІВЩИНА,zolochivshchina,Frontline,
✙ Золочів 24/7 🇺🇦,zolochiv24_7,Frontline,
🇺🇦Херcонська ОДА (ОВА),khersonskaODA,De-Occupied,
Za Президента | Херсонская область,kherson_vibor,De-Occupied,
Администрация Алешкинского муниципального округа,VGA_Alyoshki,De-Occupied,
Администрация Генического муниципального округа,VGA_Genichesk,De-Occupied,
Жизнь в оккупации,Life_underZoccupati,De-Occupied,
Общественная Палата Херсонской области,OC_XO,De-Occupied,
Прокудін Олександр - Офіційна сторінка,olexandrprokudin,De-Occupied,
Херсонка.ру,hersonka_ru,De-Occupied,
Херсонский Санёк,khersonSanyok,De-Occupied,
Херсонское Агентство Новостей,xonewsru,De-Occupied,
🇺🇦Олексій Дрозденко / Сумська МВА,drozdenko_sumy,Frontline,
✙ Чернігів Оперативний 🇺🇦,ChernigivOperative,Frontline,Chernihiv
АЛЬТРУИСТ - Сумы,altruistsumy,Frontline,
Віталій Кім / Миколаївська ОДА,mykolaivskaODA,Frontline,
ЗАПОРОЖСКИЙ ВЕСТНИК,zpvestnik,Frontline,
Запорожский Телеграф,zo_telegraf,Frontline,
ЗАПОРОЖСКИЙ ФРОНТ,ZA_FROHT,Frontline,
Запорожье по жизни,zaporozhittu,Frontline,
Ігор Терехов,ihor_terekhov,Frontline,
"Лохматый Z Николаев, Сергей Лебедев",L0HMATIY,Frontline,
"МКП ""Миколаївводоканал"" 💦",vodokanal1,Frontline,
Накипіло. Афіша,nakipeloposter,Frontline,
НЕМІЧЕВ | NEMICHEV,natsionalKharkiv,Frontline,
Николаевский Ванёк,vanek_nikolaev,Frontline,
"Олег Синєгубов, голова Харківської ОДА",synegubov,Frontline,
Олександр ЛОМАКО | Офіційно про Чернігів,lomako_oleksandr,Frontline,Chernihiv
Подслушано Запорожская область,podslyshano_zp,Frontline,
Поліція Харківської області,police_kh_region,Frontline,
Радіо Накипіло. Харків 92.2 FM,radionakypilo,Frontline,
Рятувальники Сумщини,dsns_sumy,Frontline,
Сєнкевич Online,senkevichonline,Frontline,
Суспільне Харків,suspilne_kharkiv,Frontline,
"ХАБ. ЧЕРНІГІВ ТА ОБЛАСТЬ ""НЕЗЛАМНІСТЬ""",chernihivnewshub,Frontline,Chernihiv
Харків 1654 | Місто-герой 🇺🇦,kharkiv_1654,Frontline,
Харківська міська рада,citykharkivua,Frontline,
Харківська обласна прокуратура,prokuratura_kharkiv,Frontline,
Харьков Life | Харків 🇺🇦,kharkivlife,Frontline,
Хуйовий Харків 🇺🇦 Хуевый Харьков,huyovy_kharkiv,Frontline,
"""Союз журналистов России"" в ДНР",dpruj_media,Occupied,
🇷🇺 Донецк сейчас 🅉,donetsknow,Occupied,
🇷🇺НОВОСТИ КРЫМА🇷🇺,crimea24new,Occupied,
🇺🇦Артем ЛИСОГОР Луганська ОВА/OFFICIAL🇺🇦,gibdd_mvd_lnr,Occupied,
"❗️Луганский Источник ‼️Новости ЛНР, социально - правовая информация Луганска, выплаты в ЛНР",lnrnovosti,Occupied,
AVANTI 🇷🇺Адвокаты ЛНР | Луганск,Avanti_LNR,Occupied,
Baby Boom🍭,little_hank_mlt,Occupied,
Dobrota,severodonezklite,Occupied,
Kitsune / Сєвєродонецьк 🇺🇦,kitsunetg,Occupied,
Mariypolina,Mariypolina_life,Occupied,
Media Малькевич 🇷🇺,alexandr_malkevich,Occupied,
Авдеевка сейчас 🇷🇺,avdeevka24,Occupied,
Администрация Главы ДНР,AG_DPR,Occupied,
Администрация города Рубежное,Agr_lnr,Occupied,
Администрация Каховского муниципального округа,VGA_Kakhovka,Occupied,
Администрация Лисичанска,lisichansk_adm,Occupied,
Администрация Херсонской области,VGA_Kherson,Occupied,
Аксёнов Z 82,Aksenov82,Occupied,
Алексей Цыденов,alexeytsydenov,Occupied,
Андрей Алексеенко,aakherson,Occupied,
Артёмовск сейчас 🇷🇺,artemovsknow,Occupied,
БИЛ г.Мариуполь,bilmrpl,Occupied,
Вестник Лисичанска,vesniklisichanska,Occupied,
Владимир Сальдо,SALDO_VGA,Occupied,
Глава Администрации Кременского района Третьяков В.Ю,glavakrm,Occupied,
Глава Мариуполя Олег Моргун,morgun_ov,Occupied,
Главное в Херсоне и области,hercon_ru,Occupied,
ГУ МВД России по Херсонской области,police_kherson_press,Occupied,
Данильченко Галина,DanilchenkoGV,Occupied,
Дарья Лантратова,lantratova_daria,Occupied,
"Департамент культуры , спорта и молодежи г. Мелитополь",DepartamentKulturySportaMologegy,Occupied,
ДМ | Донбасс Медиа,donbass_medi,Occupied,
Донецк Медиа,dntskmedia,Occupied,
Донецкий Телеграм 🅉,dontel,Occupied,
Донецкий тормозок,dntormozok,Occupied,
Донецкий штаб #МЫВМЕСТЕ,donshtabmv,Occupied,
Донецкое агентство новостей,dan_dnr,Occupied,
Евгений Кузьмин | Херсонская область | Единая Россия,EvgenyKuzminRu,Occupied,
ЕДИНАЯ РОССИЯ I Лисичанск,er_lisichansk,Occupied,
ЕДИНАЯ РОССИЯ ЛНР,er_lnr,Occupied,
Единая Россия. Херсонская область,er_kherson,Occupied,
"Екатерина Миланова, друзья и котики🐱",ekaterinamilanovadn,Occupied,
Зов Треугольника,zovsd,Occupied,
Инфо Мариуполь,informar2022,Occupied,
Ирина Волк,IrinaVolk_MVD,Occupied,
Крым 24 |Z| Все новости Крыма,tvcrimea24,Occupied,
КРЫМИНФОРУМ🇿 🇴 🇻,ZOVcrimea,Occupied,
Крымская митрополия,mitropol_crimea,Occupied,
Лариса Толстыкина,tolstykina_dnr,Occupied,
ЛГУ им. В. Даля,dahluniverlnr,Occupied,
Леонид Пасечник,glava_lnr_info,Occupied,
Луганск 24,GTRKLNR_Lugansk24,Occupied,
ЛуганскИнформЦентр Z,LIC_LPR,Occupied,
Лука Ебков,luka_ebkov,Occupied,
МАРИУПОЛЬ | 0629 BLACK,mariupol_0629_black,Occupied,
МАРИУПОЛЬ | ЧП,mariupol_4P,Occupied,
МАРИУПОЛЬ 24,mariupol24tv,Occupied,
Мариуполь Online,mariupol_online24,Occupied,
МАРИУПОЛЬ ИНФО 🇷🇺 СПРАВКА,mrplinfo,Occupied,
МАРИУПОЛЬ ПО ФАКТУ 👀,mrplonline,Occupied,
Мариуполь. Фотограф 📸,Mariupol_Photograph,Occupied,
МАРИШКА ИЗ МАРИУПОЛЯ,marishkaeasycooking,Occupied,
МВД ЛНР,mvdlnr_official,Occupied,
Мелитополь наш,mlt_nash,Occupied,
Министерство здравоохранения Херсонской области,Minzdrav_Kherson_ru,Occupied,
Министерство культуры Херсонской области,kultkherson,Occupied,
Министерство молодежной политики Херсонской области,minmolXO,Occupied,
Министерство образования Херсонской области,depobrherson,Occupied,
МИНСТРОЙ ДНР,minstroydnr,Occupied,
МИНТРУД ДНР,mtspdnr,Occupied,
МИР ПЕЧАТИ• реклама и подарки Мариуполь,podarkimariupole,Occupied,
Молодая Гвардия Единой России ЛНР,mg_lnr,Occupied,
МоргуноV,GlavaAGBLNR,Occupied,
"МУП АГМ ""Мариупольтранс""",Mariupoltrans2022,Occupied,
МЧС ДНР,mchs_dnr,Occupied,
МЧС ЛНР,mchslnr,Occupied,
НZНП | Не забудем! Не простим! | Донбасс,nznp_lnr,Occupied,
НА МАРШЕ Z,namarshe,Occupied,
Народная милиция ДНР,nm_dnr,Occupied,
Народный фронт Херсонская область,nf_hersonshina,Occupied,
Новая Каховка,newkaxovka,Occupied,
Новая Территория,NovajaTerritoria,Occupied,
НОВЫЙ МАРИУПОЛЬ!,nmrpl,Occupied,
От Мариуполя до Карпат,osvedomitell_alex,Occupied,
Павел Филипчук Глава округа,filipchukp,Occupied,
Побратимство Петербурга и Мариуполя,goroda_pobratimy,Occupied,
Повёрнутые на Z войне 🇷🇺,voenacher,Occupied,
ПРАВИТЕЛЬСТВО ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ,government_lnr,Occupied,
Пушилин Д.В.,pushilindenis,Occupied,
Республиканский Центр Zанятости ДНР,rczdnr,Occupied,
Солнцев о восстановлении,solntsev_dnr,Occupied,
Социальный фонд России по ЛНР,sfr_lnr,Occupied,
СОЮЗ ЖЕНЩИН РОССИИ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ,womenofrussialpr,Occupied,
Срочно Энергодар,srochno_energodar,Occupied,
Супермаркет Два Брата Мариуполь,dva_brata_mrpl,Occupied,
Таврическая Республика,Tauride_Republic,Occupied,
Таврия. Новости Херсонской области,tavria_kherson,Occupied,
УГИБДД МВД по Луганской Народной Республике,gibdd_mvd_lnr,Occupied,
Управление внутренней политики Херсонской области,UOMCY_XO,Occupied,
Цветочная мастерская «Клевер» 🍀,klever_flo_mrpl,Occupied,
Черный Список | Мариуполь,BLMariupol,Occupied,
ЧП / Крым,chp_crimea,Occupied,
ЧП / Севастополь,chpsevas_news,Occupied,
Юрий Юров,yurii_yurov_XXI,Occupied,
